family_name,given_name,date_of_birth,place_of_birth
Mulrenan,Patrick,07-02-1941,Hawick
Hadfield,Ann,12-07-1935,Tillicoultry
Aairbaiter,Leah,1883-01-26,Buckie
Owen,Rebecca,1847-07-21,Port Glasgow
Baker,Walter,1898-12-12,Stranraer
Sewell,William,1840-07-10,Forfar
Larkins,Male,1842-12-29,Peebles
Gray,John,1890-04-06,Dalry
Owens,Mary,10-10-1914,Haddington
Derry,Peter,25-08-1956,Hamilton
Lodge,Ruth,30-06-1956,Oban
Powell,Ada,1887-02-14,Crieff
Lowe,Helen,04-01-1977,Kirkcaldy
French,Alfred,1880-11-20,Ballymena
Nickolass,Sarah,1857-09-22,Fraserburgh
Ostryzniuk,Leanne,01-09-1976,Campbeltown
Miles,Ellen,1842-09-08,Irvine
Clark,Michelle,23-12-1981,Forres
Kelley,Alan,13-03-1949,Stirling
Balsdon,Ruth,1896-02-08,Ayr
Humphries,Frederick,30-11-1909,Anstruther
Whitby,Harry,1879-12-19,Golspie
Hughes,Hughie,1880-03-13,Lanark
Edge,David,13-01-1945,Helensburgh
Mcgovan,Lisa,12-05-1973,Ballymena
Robertson,Leslie,03-01-1914,Kinross
Bale,Anthony,15-02-1946,Kelso
Lewis,Margaret,1865-06-30,Crieff
